とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。,少年虽装傻，但手却不自觉伸向腰间。
「腰のものなら、後ろに落としたぞ」,「你要找的腰上的东西，掉在你身后了」,「你找的东西掉在身后了」
横っ面を蹴り飛ばす。,他被我自侧面一脚踹飞。,我从侧面一脚踹飞他。
「何のこと……ぐっ」,「我不知道你在……咕」,「我不知你在……咕」
もう一度顔を地面に叩きつけると、鼻血がどっと溢れた。,换来了脸部再与地面又一次的亲密接触，以及鼻血渐渐的流出。,脸再一次亲密接触地面，鼻血慢慢流出。
「だが、よく聞け」,「不过，给我听好了」,「不过，听好了」
「悪いが、人助けの趣味はない」,「抱歉，我并没有兴趣去帮助他人」,「抱歉，我没兴趣帮别人」
「組織に連れて行く」,「我要把你带到组织那里」,「我要带你去组织」
「そ、そんな」,「怎，怎么这样」,「怎，怎么会」
少年の横面を蹴り飛ばす。,咯！！我一脚踹到少年的脸上。,咯！！我一脚踢中少年的脸。
子供に暴力を振るうのは気が進まないが、けじめはけじめだ。,虽然对孩子施以暴力不是我的个性所在，但该给的教训还是不能少。,虽然不喜欢对孩子动手，但必要的教训不能少。
俺に正対したまま、一歩二歩と後ずさり、,保持着正对我的姿势，一步接一步地缓缓后退。,他正对着我，一步步慢慢后退。
……恐らく、長くはないだろう。,……恐怕，不久之后就会被抓住吧。,……恐怕很快会被抓吧。
面倒に巻きこまれる前にこの場を離れよう。,趁着还没被卷入麻烦的事件之前，赶快离开这里吧。,趁麻烦还没到，赶紧离开吧。
「そこの君」,「那边的那个人」,「那边那人」
「……なんだ？」,「……有什么事？」,「……有事吗？」
「君は治癒院で羽化病の治療を受けるんだ。怖がることはない」,「我们只是要带你去治愈院治疗羽化病，不是什么应该感到害怕的事情」,「我们只是带你去治愈院治病，不必害怕」
「赤の他人だ」,「只是路人而已」,「只是路人」
「同情する」,「我表示同情」,「我同情你」
「ま、慌てるなよ」,「嘛，不要这么慌张」,「嘛，别慌」
「違うな」,「当然不是」,「当然不是」
「仕事を受けることはあるが、構成員じゃない」,「我只是从那里接受工作而已，并不是他们的成员」,「我只是接了活，不是他们的人」
「《不蝕金鎖》の方々は、我々に非協力的で困っている」,「《不蚀金锁》的那些人一向都不对我们合作，我对此深感困扰」,「《不蚀金锁》的人一直不合作，我很困扰」
「牢獄や組織の情勢を知ることで、一人でも多く羽つきを保護したいのだ」,「如果能够知晓牢狱与组织的事情，我们也可以尽可能地对更多的羽化病人进行保护」,「要是知道牢狱和组织的事，就能保护更多病人」
最悪、二度と戻れないかもしれない。,最坏的情况下，我有可能不再有机会重获自由。,最坏的情况，我可能再无自由。
「それは、詰め所で説明する」,「那些话，我们会在看守所对你详细说明的」,「那些话，到看守所再说」
何とか丸く収めたいが、先方にその気は薄い。,正当我想要打圆场的时候，刚才的气氛一瞬间产生了转变。,正当我想打圆场时，气氛骤变。
どうする……,发生了什么事……,发生什么了……
裏路地の淀みを吹き払うような、澄んだ声が聞こえた。,耳边突然响起了一个能够将这阴暗的气息一扫而空的声音。,耳边响起一扫阴暗气息的声音。
彼らの視線の先には、,而在他们视线的焦点处，,在他们注视的焦点处，
しかも隊長か。,而且还是队长呢。,还是队长呢。
「なんだ？」,「有什么事？」,「有事吗？」
「……へえ」,「……这样啊」,「…这样啊」
変な女隊長だ。,真是个奇怪的女队长。,真奇怪的女队长。
花輪が掛けられた木製の扉を開ける。,喀啷喀啷，我打开挂有花环的木质大门。,喀啷，我推开挂花环的木门。
他の客は雇いの女に任せ、こちら専属の態勢だ。,她把其他客人撇给雇佣的女生，摆出一副专属这边的架势,她把其他客人交给雇来的女生，来到我这边。
「ごめんね、変な仕事頼んじゃって」,「抱歉，又拜托给你了个这么麻烦的工作」,「抱歉，又给你添麻烦了」
「これ、お礼ね」,「这是我的一点谢意」,「这是谢意」
「見栄よ、見栄」,「这是面子问题啊，面子问题」,「这是面子问题」
「よかったー、今月納めるお金、全部入ってたのよ」,「太好啦―这个月的上纳金，我可全部都放在里面了呢」,「太好啦―这个月的上纳金我全放里面了」
「世辞だよ」,「只是客套话而已」,「只是客套」
メルトが指先で俺の額を弾く。,梅尔特用指尖弹了我的额头一下。,梅尔特用指尖弹了弹我额头。
入り口の扉が開いた。,喀啷喀啷。门铃响起。入口的门被推开了。,喀啷，门被推开。
「ん？　死んだが」,「嗯？已经不在这个世上了」,「嗯？已经不在了」
「耳が早い」,「消息真灵通」,「消息真灵」
「カイムはおかわり？」,「凯伊姆要再来一杯吗？」,「凯伊姆再来一杯？」
そして一服。,然后吸了一口。,吸了一口。
それぞれに杯を取る。,我们各自拿了自己的那份。,我们各自拿了自己的。
「まるっきり新人の女中だな」,「完全把你当成新进的女佣了么」,「完全当你是新来的女佣啊」
「いや、重要なことだ」,「不，这是很重要的事情」,「不，这是要紧事」
「いい心がけね」,「这心态不错嘛。」,「心态不错嘛」
「それで思わず逃がしたと？」,「所以就不由自主地放他逃跑了？」,「所以你就放他跑了？」
「ほんと自己満足」,「真的，只是自我满足而已」,「这只是自我满足」
「今頃は治癒院のベッドの上だ」,「现在应该已经躺在治愈院的床上了」,「他现在应该躺在治愈院了」
「気が利くじゃないか」,「你这不是很善解人意么」,「你还挺体贴啊」
「常識で考えてくれ」,「你给我用常识考虑考虑」,「用常识想想吧」
愛嬌のない返事をして、エリスは当然のように俺の左隣に座った。,用不可爱的声音随口回应后，艾莉斯理所当然般地在我左边的座位坐下。,用不可爱的声音随口回应后，艾莉斯理所当然般地在我左边坐下。
「お店を出てすぐに会えたなんて、私とカイム運命で結ばれてるね」,「我从店里出去以后不久就看到他了，这是我们被命运之绳紧紧相连的证明呢」,「我从店里出去不久就看到他了，这是我们被命运紧紧相连的证明」
「いつものね」,「司空见惯的风景呢」,「常见的风景」
「お詫びに、俺がエリスを手当てしよう」,「为表歉意，就让我来给艾莉斯诊疗一下吧」,「为表歉意，我来给艾莉斯看下吧」
「中毒性は低いが、ときどき一発で潰れる奴がいる」,「虽然中毒的可能性很低，但只要中毒便会一发而不可收拾」,「中毒可能性低，但一旦中毒就麻烦了」
「ごめん、冗談」,「抱歉，开玩笑的」,「抱歉，开玩笑」
「何か耳に入ったら教えてくれ」,「如果有什么传闻的话记得告诉我」,「有传闻记得告诉我」
基本的に治療法などなく、水を飲ませて腹の中を洗うくらいが精々。,会采取的对策就只有多饮水来冲淡体内的毒素这种连基本都算不上的治疗法。,对策就只是多喝水冲淡毒素，连治疗都算不上。
医者のエリスとしては、最も診察のし甲斐がない患者だろう。,对于身为医生的艾莉斯来说，应该是她最不想对其诊察的患者吧。,对医生艾莉斯来说，这是最不想看的病人。
客の多くは金の出所を知っている。,多数客人都知道那个大人物所指是谁。,大多数客人都知道大人物是谁。
方々の席で、ジークを讃えての乾杯が始まった。,在各个座位上，与对吉克的赞美同时，响起了干杯的声音。,座位间赞美吉克声与干杯声齐起。
