原文,译文
仕方のないことが多すぎる。,人生不如意事，十常居七八。
あらゆるものが不条理に彩られている。,世间的万物皆被装缀着不公的色彩。
例えばそう──,没错，就像――
十数年前のあの日、,十几年前的那一天，
都市の一隅が、あまたの命とともに消えたように。,在都市的角落，同许多的生命共同消逝一般。
例えばそう──,没错，就像――
十数年前のあの日からずっと,从十几年前的那天起以来，
幾多の人生が逃れ得ぬ汚泥に囚われているように。,无数的生命被那无法逃脱的污泥囚禁一样。
仕方のないことが多すぎる。,人生不如意事，十常居七八。
あらゆるものが不条理に彩られている。,世间的万物皆被装缀着不公的色彩。
例えばそう──,没错，就像――
今日、この日、,如今，这一天。
ここ数日、街に雨は降っていない。,这些天，街道不曾下雨。
だから、地面が濡れているのは女の子たちの血が降ったからなんだろう。,所以，那浸湿地面的，定是那些女孩们流落的鲜血无疑。
鉄錆のような臭いでいっぱいの路地にうずくまり、わたしはぼんやりと考えた。,我蹲在充斥着铁锈味般恶臭的小巷中，悠闲地如是想着。
また一つ、女の子が死ぬ音が聞こえた。,扑哧、耳旁再次响起象征着某个女孩子死去的声音。
また一つ──,再一次――
また一つ。,再一次。
何かが、女の子たちを肉の塊に変えている。,女子们被肢解成单纯的肉块。
流れてきた血に身体を半分浸したまま、じっと息を殺す。,我任由流下的血浸满全身，屏住自己的呼吸。
狩人が自分を見逃してくれる幸運を祈りながら。,祈求自己能拥有从猎人手中逃脱的幸运。
さっきまで、馬車に乗せられていたわたしたち。,直到刚才，我们还坐在去往娼馆的马车上。
そのうちの何人か……,而这之中的某些人，已经不在这个世上了。
ううん、そのうちのほとんどは、きっともう生きてはいない。,不，应该把“某些”换成“几乎所有”才更为恰当吧。
おそらく、もうすぐわたしも路地の染みになる。,恐怕，不久之后我也会变成小巷中血腥的装饰品。
こんな死に方をするために、わたしは辛い生活に耐えてきたのだろうか？,我是为了得到这种死法，才辛苦苟活至今的吗？
誰か説明してほしい──,来个人告诉我啊――
誰か。,谁都好。
誰か！！,来人啊！！
【少女】,【少女】
「っ……！？」,「呃……！？」
視界を黒い何かが塞いだ。,漆黑的物体充斥了我的整个视野。
少し遅れて、それが大きな足だと気づいた。,我很快意识到，那是只很大的脚。
声を出しちゃいけない。,必须要出声求救。
でも、食いしばった歯がカチカチと音を立ててしまう。,可是，耳中却只能听到自己的牙关不停交战的声音。
何もできない。,我是如此的无助。
逃げることも、謝ることも。,逃跑也好，道歉也罢。
わたしを殺そうとしている人の顔を見ることも。,就连抬头看一眼将要杀掉我的人的面孔都做不到。
【少女】,【少女】
「……される」,「……被杀」
殺される。,会被杀。
殺される！！,会被杀！！
胸の奥に生まれた冷たい予感が、身体中に拡がった。,来自内心深处的冰冷预感，渐渐地在体内蔓延开来。
【少女】,【少女】
「い、いや……」,「不，不要……」
浮遊都市《ノーヴァス・アイテル》。,浮游都市，《诺瓦斯・艾蒂尔》。
《特別被災地区》──,《特别受灾地区》――
通称《牢獄》。,通称，《牢狱》。
<しゅんげん>峻厳|な崖壁により周囲から隔絶された、都市の底だ。,是被险峻的峭壁环绕，与世隔绝的，都市的最底部。
【若い男】,【年轻人】
「放せよっ！」,「放开我！」
【若い男】,【年轻人】
「俺は、あの女を助けてやっただけだっ！」,「我只是在帮那个女人而已！」
【若い男】,【年轻人】
「聞いてるのか！？」,「你们没听到吗！？」
【若い男】,【年轻人】
「お前らが、汚いやり方で親御さんに借金作らせたんだろっ！？」,「用肮脏的手段把钱借给她父母的，就是你们这些家伙吧！？」
【若い男】,【年轻人】
「なんとか言えよっ」,「说话啊」
男が喚き散らす。,男人声嘶力竭地叫着。
そのたびに、男に繋がった縄が左右に引っ張られる。,作为对他的回应，我在他身上把麻绳又缠了一圈。
元気なものだ。,真有精神啊。
捕まる前は恐怖で震えていたくせに、拘束した途端に騒ぎはじめた。,明明被抓前还只能害怕地颤抖，在被抓的现在就又喧闹起来了。
なんでも、リリウムの娘と駆け落ちしようとしたらしいが……。,再怎么说，这也是个想和娼妇私奔的男人啊……
ま、そこらの事情はどうでもいい。,嘛，那种事怎么都好。
【カイム】,【凯伊姆】
「俺は、頼まれてお前を捕まえただけだ」,「我来抓你，只是受雇于人而已」
リリウムの待合いに入る。,我走进娼馆《莉莉乌姆》的接待室。
机で帳面をめくっていたオズが手を止め、目を上げた。,正在桌旁整理账簿的奥兹停下手头的工作，抬起头向我看来。
【オズ】,【奥兹】
「これはカイムさん、お疲れ様です」,「这不是凯伊姆先生吗，辛苦了」
【オズ】,【奥兹】
「もうお済みで？」,「委托已经完成了吗？」
【カイム】,【凯伊姆】
「ああ、こいつで間違いないか」,「啊啊，是这家伙没错吧」
オズが、触れれば切れそうな視線で男を眺め回す。,奥兹用只要接触到就能杀人般的眼神在男人脸上扫过。
【オズ】,【奥兹】
「こいつです、間違いありません」,「没错，就是这个人」
【カイム】,【凯伊姆】
「そうか」,「是么」
男をオズに引き渡す。,我把男人交给了奥兹。
これで依頼は完了だ。,这样委托就完成了。
目新しくもない、やり慣れた仕事だった。,毫无新意，司空见惯的委托。
【若い男】,【年轻人】
「お、俺をどうするつもりだ」,「你，你们要对我做什么」
【オズ】,【奥兹】
「……」,「……」
怯えて訊ねた男を、オズは視線だけで黙らせた。,奥兹用一个眼神，就让男人闭上了嘴。
そして、俺に向き直る。,然后，向我这边转过身来。
【オズ】,【奥兹】
「いつも、つまらない仕事をお願いしましてすみません」,「抱歉啊，总是麻烦你去做这些无聊的事」
【オズ】,【奥兹】
「うちの若いのじゃ、なかなかこうはいきませんので」,「都怪我们这边的年轻人太没用」
【カイム】,【凯伊姆】
「無駄話はいい」,「客套话就免了」
【オズ】,【奥兹】
「これは失礼しました」,「这还真是失礼了」
【オズ】,【奥兹】
「おい、誰か」,「喂，来个人」
【坊主の男】,【光头男人】
「へい」,「是」
【オズ】,【奥兹】
「カイムさんがお仕事からお戻りだ」,「凯伊姆先生做完工作回来了」
【坊主の男】,【光头男人】
「へ、へえ、それが……」,「是，是，那个……」
【オズ】,【奥兹】
「酒くらい持ってこいって言ってんだ、馬鹿野郎っ！」,「我是要你拿些酒来，这个蠢材！」
オズが投げた煙草盆が、下っ端の額に当たる。,奥兹扔出的烟灰缸砸中了手下的额头。
ぱっと鮮血が散った。,鲜血四溅。
【カイム】,【凯伊姆】
「構わなくていい」,「不用这么麻烦」
【カイム】,【凯伊姆】
「これから《ヴィノレタ》で呑むつもりだ」,「我接下来要去《菲诺列塔》」
【オズ】,【奥兹】
「おっと」,「喔唷」
【オズ】,【奥兹】
「そういうことでしたら、ここで呑んでしまうのはもったいないですね」,「既然如此，我就不留您在这里喝难饮的劣质酒了」
額を押さえて<うめ>呻|いている下っ端を尻目に、あっさりと言うオズ。,奥兹斜眼看着正捂住额头呻吟的手下，轻描淡写地说道。
【カイム】,【凯伊姆】
「これで薬でも買え」,「用这些钱去买药」
下っ端の前に、銅貨数枚を放った。,我将几枚铜币扔在那个手下的身前。
【オズ】,【奥兹】
「カイムさん、そんな甘やかさなくても」,「凯伊姆先生，不用对他们这么好」
【カイム】,【凯伊姆】
「いいんだ」,「无妨」
【カイム】,【凯伊姆】
「ところで、駆け落ちした女はどうした？」,「话说回来，那个要落跑的女人呢？」
【オズ】,【奥兹】
「若いのに任せてます。少しきつい灸を据えられているかと」,「我把她交给那些年轻人了，现在应该正在体会人生的严苛吧」
【オズ】,【奥兹】
「せっかくですし、カイムさんも遊んでいったらどうです？」,「正好，趁此机会凯伊姆先生也来享受一番如何？」
オズが陰惨な笑みを浮かべた。,奥兹脸上露出阴惨的笑容。
優秀な男だが、こういう加虐嗜好にはついていけない。,这个男人虽说很优秀，但也有这种施虐的嗜好。
【若い男】,【年轻人】
「お、お前ら、あの娘に何かしたらっ！？」,「你，你们这些家伙，要对她做什么！？」
黙っていた男が、弾かれたように口を開いた。,沉默的男人触电般猛地开口说道。
オズが若い男を殴った。,咣！奥兹给了他一拳。
一撃で床に転がる。,一击即倒。
その男の顔へ、容赦なくオズの足が降る。,奥兹毫不留情地向男人的脸上踩去。
【若い男】,【年轻人】
「ぐっ……ごほっ……」,「咕……呃咳……」
泡立った血とともに折れた歯を吐き出す。,折断的牙齿伴着血泡被吐出。
赤い液体の中で、その白さが妙に冴えていた。,这份白色在鲜红色的液体中格外显眼。
【若い男】,【年轻人】
「こんなことをして……衛兵が黙っているわけが……」,「你们以为做出这种事……卫兵会坐视不理吗……」
【オズ】,【奥兹】
「ああ、黙っちゃいないな」,「啊啊，不会坐视不理的」
【オズ】,【奥兹】
「お前の財布を抜いて、俺と山分けの相談をするだろうよ」,「应该会拿出你的钱包，和我们商量该如何来瓜分吧」
【若い男】,【年轻人】
「そ、そんな……」,「那，那种事……」
牢獄じゃ当たり前のことだ。,这在牢狱是理所当然的事情。
【オズ】,【奥兹】
「なんだ、牢獄は初めてか？」,「怎么，头一回来牢狱么？」
男が頷く。,男人点了点头。
【オズ】,【奥兹】
「惚れた女のために牢獄に来るなんざ、律儀なもんだ」,「为了被骗的女人而来到牢狱，真是个规矩人啊」
【オズ】,【奥兹】
「……騙されてるとも気づかずな」,「……前提是，被骗的人不是你」
【若い男】,【年轻人】
「だま……されてる？」,「你说……我被骗了？」
【若い男】,【年轻人】
「ど、どういうこと！？」,「那，那是怎么回事！？」
【オズ】,【奥兹】
「ま、焦らなくても今夜じっくりと教えてやるよ」,「不用急，今天晚上会好好告诉你的」
男の顔をオズが爪先で小突く。,奥兹抓起男人的脸。
客の憐れみを誘うために素性をでっちあげるのは、彼女達の<じょうとうしゅだん>常套手段|だ。,为引诱客人的怜悯之心而装纯，是娼妇的惯用手段。
親が騙されて借金を作り、自分はその返済のために売られた、などというのがその典型。,双亲被骗而借钱，结果作为抵押而将自己卖到这里，这是典型的说法。
熱くなった男が常連になってくれるだけならいいが、今回の男は熱くなり過ぎて、女との駆け落ちを計画した。,如果只是头脑发热而成为常客也就罢了，这次的男人热血过头，居然想出了要带女人私奔的计划。
女が断ればまだ冗談で済まされるが、夢を見たのか情にほだされたのか、手に手を取っての逃避行だ。,虽然女人半开玩笑地予以拒绝，但不知天高地厚的这家伙还是拉着她逃跑了。
しかし、よっぽど幸運でもない限り追手から逃げ切ることは不可能だ。,不过，想要逃脱追击本来就是不可能的任务。
にもかかわらず、こういう話は後を絶たない。,但即便如此，这种事情还是会一再的出现。
騙す女に騙される男。,说谎的女人和被骗的男人。
この街で、飽き飽きするほど見てきた茶番だ。,在娼馆街，这是令人看到生厌的日常的风景。
【カイム】,【凯伊姆】
「俺は行くぞ」,「我要走了」
【オズ】,【奥兹】
「はい、またよろしくお願いします」,「好的，下次再麻烦您」
【オズ】,【奥兹】
「お礼は、後ほどジークさんから」,「之后吉克先生会将谢礼交给您的」
【カイム】,【凯伊姆】
「ああ」,「啊啊」
オズの声を背にリリウムを後にする。,我背向奥兹走出娼馆。
慣れた仕事とはいえ、朝からの捜索で喉が渇いた。,虽说是已经做惯了的工作，但托从一大早就开始搜索的福，喉咙还是相当的渴。
ヴィノレタで一杯やろう。,去菲诺列塔来一杯吧。
ヴィノレタは、リリウムの近くにある酒場だ。,菲诺列塔是建在娼馆街入口附近的酒馆。
自宅以外で、俺が最も多くの時間を過ごしている場所でもある。,也是我除了在自己家以外，呆的时间最多的地方。
店主はメルト。,店长是梅尔特。
かつてはリリウムで最も人気がある娘だったが、身請けされて酒場の主に収まった。,曾经是娼馆街最有人气的娼妇，被赎身后成为了酒馆的主人。
【カイム】,【凯伊姆】
「……？」,「……？」
遠くから、かすかな<おんぎょく>音曲|が流れてきた。,从远方传来微弱的歌声。
関所広場の方だ。,是关卡广场的方向
そうだ。,对了。
今日は聖女のお目見えの儀式があるのだった。,今天有觐见圣女的仪式。
当代の聖女イレーヌ──,当代的圣女伊莲――
通称《盲目の聖女》の人気は、歴代の聖女の中でも群を抜いていると聞く。,俗称《盲眼之圣女》，据说即使在历代的圣女中，人气也是数一数二的。
広場の人出は相当なものだろう。,广场上的人估计相当多吧。
一度顔を拝んでみたい気もするが、混雑に揉まれるのはご免だ。,虽然我也想去看看她长什么样，不过要在人潮中挤来挤去就免了。
ヴィノレタで大人しく火酒でもやろう。,还是老老实实地去菲诺列塔喝烧酒吧。
そう思った時、路地を向かってくる人影に気がついた。,正当我这样想着的时候，一个身影自小巷的那头走来。
【カイム】,【凯伊姆】
「エリス」,「艾莉斯」
【エリス】,【艾莉斯】
「あ、カイム」,「啊，凯伊姆」
小走りに駆け寄ってくる。,一路小跑着跑了过来。
【エリス】,【艾莉斯】
「丁度、呼びに行くところだったの」,「正好，我还想要去找你呢」
【エリス】,【艾莉斯】
「カイムから来てくれるなんて……運命かな？」,「没想到凯伊姆会主动出现……这是命运吗？」
【カイム】,【凯伊姆】
「違うだろうな」,「显然不是吧」
【エリス】,【艾莉斯】
「あっそ」,「啊，是么」
端整な眉をついと上げ、軽く鼻息をついた。,艾莉斯挑了挑整齐的双眉，微微地哼了一声。
かなり目を引く美人だが、愛嬌をどこかに置き忘れたせいで、かなり損をしている。,虽然是个相当引人注目的美人，但她这个将亲切二字丢入无底深渊的性格，为自己扣了不少的分
印象的なのは、その古井戸のような瞳だ。,给人印象最深的，就是那潭水般的双瞳。
真っ暗な<どうこう>瞳孔|の奥に、得体の知れない感情が水面のように揺らめいている。,在漆黑的瞳孔中，完全看不出感情的波动。
【エリス】,【艾莉斯】
「私の目、好き？」,「喜欢我的眼睛吗？」
【エリス】,【艾莉斯】
「欲しいならあげよっか？」,「如果想要的话就给你吧？」
【カイム】,【凯伊姆】
「いらん」,「用不着」
【エリス】,【艾莉斯】
「あら残念」,「阿拉，可惜」
本気とも冗談ともつかない顔で言った。,艾莉斯带着不知是开玩笑还是认真的表情说道。
【カイム】,【凯伊姆】
「で、俺になんの用だ」,「那么，找我有什么事」
【エリス】,【艾莉斯】
「メルトが、お金をすられたって」,「梅尔特的钱好像被偷了」
【カイム】,【凯伊姆】
「<スリ>掏摸|？　いい歳してみっともない」,「钱被偷了？都几岁了还这么没用」
【エリス】,【艾莉斯】
「私に言わないで」,「不要对我说啊」
【カイム】,【凯伊姆】
「まさか、<スリ>掏摸|を捕まえろって言うんじゃないだろうな？」,「那家伙，该不会说要让我去抓那个小偷吧？」
【エリス】,【艾莉斯】
「冴えてる」,「就是这样」
【カイム】,【凯伊姆】
「阿呆か」,「笨蛋吗」
<スリ>掏摸|なんて牢獄には星の数ほどいる。,在牢狱里，小偷的数量和星星一样多。
証拠も掴みにくく、面倒なことこの上ない仕事だ。,而且也没有证据，没有比这个更麻烦的工作了。
【カイム】,【凯伊姆】
「小遣い程度なら授業料とでも思っておけ」,「如果是小钱的话，就当做是买个教训吧」
【エリス】,【艾莉斯】
「ところが、盗られたのは今月の上納金なの」,「说起来，被盗的是这个月的上纳金」
【カイム】,【凯伊姆】
「なんだと？」,「你说什么？」
【エリス】,【艾莉斯】
「これが授業料なら、結構なこと教えてもらわないとね」,「用这些钱买教训，也太过奢侈了呢」
《不蝕金鎖》への上納金ならば、かなりの額になる。,《不蚀金锁》的上纳金数额非常庞大。
そもそも上納金が未納では店がまずい。,说到底，不缴纳上纳金的店会变得很不妙。
【カイム】,【凯伊姆】
「わかった、探そう」,「知道了，我去找」
【カイム】,【凯伊姆】
「<スリ>掏摸|の特徴は？」,「小偷的特征呢？」
【エリス】,【艾莉斯】
「男の子」,「男孩子」
【エリス】,【艾莉斯】
「……で、羽がついてる」,「……而且，背后有翅膀」
【エリス】,【艾莉斯】
「一応隠してるけど、わかってて見れば気づく大きさだって」,「虽然姑且是藏在身后，但是仔细观察的话是很明显的」
【カイム】,【凯伊姆】
「羽つきか」,「羽翼者吗」
《羽つき》は《羽化病》という伝染病に冒された人間の通称だ。,《羽翼者》是对感染了名为《羽化病》这种传染病的人类的俗称。
